vc_names,Uniprot,Family_name,Genes,GO,GO_num
VC0330,Q9KV28,,,,
VC0331,Q9KV27,,,,
VC0332,Q9KV26,UROPORPHYRINOGEN DECARBOXYLASE,82,"",""
VC0333,Q9KV25,,,,
VC0334,Q9KV24,,,,
VC0335,Q9KV23,MUREIN HYDROLASE ACTIVATOR ENVC,9,metalloendopeptidase activity,GO:0004222
VC0336,Q9KV22,"2,3-BISPHOSPHOGLYCERATE-INDEPENDENT PHOSPHOGLYCERATE MUTASE",56,intramolecular transferase activity;transition metal ion binding,GO:0016866;GO:0046914
VC0337,Q9KV21,SUBFAMILY NOT NAMED,9,"",""
VC0338,Q9KV20,,,,
VC0339,Q9KV19,"PHOSPHATIDYLSERINE DECARBOXYLASE PROENZYME, MITOCHONDRIAL",116,lyase activity,GO:0016829
VC0340,Q9KV18,"SMALL RIBOSOMAL SUBUNIT BIOGENESIS GTPASE RSGA 1, MITOCHONDRIAL-RELATED",69,"",""
VC0341,Q9KV17,"OLIGORIBONUCLEASE, MITOCHONDRIAL",109,3'-5'-exoribonuclease activity,GO:0000175
VC0342,Q9KV16,EPOXYQUEUOSINE REDUCTASE,19,oxidoreductase activity,GO:0016491
VC0343,Q9KV15,TRNA THREONYLCARBAMOYLADENOSINE BIOSYNTHESIS PROTEIN TSAE,37,"",""
VC0344,Q9KV14,N-ACETYLMURAMOYL-L-ALANINE AMIDASE AMIB,6,"hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in linear amides",GO:0016811
VC0345,Q9KV13,DNA MISMATCH REPAIR PROTEIN MLH1,157,ATPase activity,GO:0016887
VC0346,Q9KV12,TRNA DIMETHYLALLYLTRANSFERASE 9,84,"catalytic activity, acting on RNA;transferase activity, transferring alkyl or aryl (other than methyl) groups",GO:0140098;GO:0016765
VC0347,Q9KV11,RNA-BINDING PROTEIN HFQ,20,RNA binding,GO:0003723
VC0348,Q9KV10,GTP-BINDING PROTEIN 6-RELATED,110,ribosome binding,GO:0043022
VC0349,Q9KV09,MODULATOR OF FTSH PROTEASE HFLK,12,structural molecule activity,GO:0005198
VC0350,Q9KV08,MODULATOR OF FTSH PROTEASE HFLC,13,structural molecule activity,GO:0005198
VC0351,Q9KV07,SUBFAMILY NOT NAMED,8,"",""
VC0352,Q9KV06,PROTEIN SLYX,12,"",""
VC0353,Q9KV05,COMPASS COMPONENT SWD3,38,"",""
VC0354,Q9KV04,FKBP-TYPE PEPTIDYL-PROLYL CIS-TRANS ISOMERASE FKPA,7,binding;catalytic activity,GO:0005488;GO:0003824
VC0355,Q9KV03,SUBFAMILY NOT NAMED,13,"",""
VC0356,Q9KV02,SULFURTRANSFERASE TUSD,7,"",""
VC0357,Q9KV01,PROTEIN TUSC,9,"",""
VC0358,Q9KV00,PROTEIN TUSB,8,"",""
VC0359,Q9KUZ9,"MITOCHONDRIAL RIBOSOMAL PROTEIN, SMALL",94,structural constituent of ribosome,GO:0003735
VC0360,Q9KUZ8,"28S RIBOSOMAL PROTEIN S7, MITOCHONDRIAL",131,mRNA binding;rRNA binding;structural constituent of ribosome,GO:0003729;GO:0019843;GO:0003735
VC0361,Q9KUZ7,"RIBOSOME-RELEASING FACTOR 2, MITOCHONDRIAL",138,RNA binding,GO:0003723
VC0362,Q9KUZ6,,,,
VC0363,Q9KUZ5,,,,
VC0364,Q9KUZ4,BACTERIOFERRITIN-ASSOCIATED FERREDOXIN,12,cofactor binding,GO:0048037
VC0365,Q9KUZ3,BACTERIOFERRITIN,22,"",""
VC0366,Q9KUZ2,30S RIBOSOMAL PROTEIN S6,65,"",""
VC0367,Q9KUZ1,,,,
VC0368,Q9KUZ0,"28S RIBOSOMAL PROTEIN S18C, MITOCHONDRIAL",122,rRNA binding;structural constituent of ribosome,GO:0019843;GO:0003735
VC0369,Q9KUY9,"39S RIBOSOMAL PROTEIN L9, MITOCHONDRIAL",111,"",""
VC0370,Q9KUY8,,,,
VC0371,Q9KUY7,REPLICATIVE DNA HELICASE,46,DNA helicase activity,GO:0003678
VC0372,Q9KUY6,"ALANINE RACEMASE, BIOSYNTHETIC",7,catalytic activity,GO:0003824
VC0373,Q9KUY5,SECONDARY THIAMINE-PHOSPHATE SYNTHASE ENZYME,91,"",""
VC0374,Q9KUY4,"GLUCOSE-6-PHOSPHATE ISOMERASE, CYTOSOLIC",87,"hydro-lyase activity;intramolecular transferase activity;kinase activity;monosaccharide binding;oxidoreductase activity;phosphotransferase activity, alcohol group as acceptor",GO:0016836;GO:0016866;GO:0016301;GO:0048029;GO:0016491;GO:0016773
VC0375,Q9KUY3,,,,
VC0376,Q9KUY2,SUBFAMILY NOT NAMED,8,"",""
VC0377,Q9KUY1,SUBFAMILY NOT NAMED,8,"",""
VC0378,Q9KUY0,ZINC UPTAKE REGULATION PROTEIN,7,DNA-binding transcription factor activity;transcription regulatory region DNA binding;zinc ion binding,GO:0003700;GO:0044212;GO:0008270
VC0379,Q9KUX9,FMN-LINKED OXIDOREDUCTASES SUPERFAMILY PROTEIN,60,oxidoreductase activity,GO:0016491
VC0380,Q9KUX8,,,,
VC0381,Q9KUX7,,,,
VC0382,Q9KUX6,,,,
VC0383,Q9KUX5,,,,
VC0384,Q9KUX4,NADPH OXIDOREDUCTASE A,19,flavin adenine dinucleotide binding;oxidoreductase activity;ribonucleotide binding,GO:0050660;GO:0016491;GO:0032553
VC0385,Q9KUX3,SULFITE REDUCTASE [NADPH] SUBUNIT BETA,85,oxidoreductase activity,GO:0016491
VC0386,Q9KUX2,PHOSPHOADENOSINE PHOSPHOSULFATE REDUCTASE,29,oxidoreductase activity,GO:0016491
VC0387,Q9KUX1,,,,
VC0389,Q9KUX0,SODIUM/HYDROGEN EXCHANGER,120,potassium ion transmembrane transporter activity;sodium ion transmembrane transporter activity;solute:proton antiporter activity,GO:0015079;GO:0015081;GO:0015299
VC0390,Q9KUW9,METHIONINE SYNTHASE,71,methyltransferase activity,GO:0008168
VC0391,Q9KUW8,ASPARTOKINASE,84,kinase activity,GO:0016301
VC0392,Q9KUW7,SERINE--PYRUVATE AMINOTRANSFERASE,40,"",""
VC0393,Q9KUW6,O-ANTIGEN LIGASE,10,"",""
VC0394,Q9KUW5,UVRABC SYSTEM PROTEIN A,43,"ATPase activity, coupled to transmembrane movement of substances",GO:0042626
VC0395,Q9KUW4,UTP--GLUCOSE-1-PHOSPHATE URIDYLYLTRANSFERASE,34,enzyme regulator activity;guanyl-nucleotide exchange factor activity;nucleotidyltransferase activity;translation initiation factor activity;translation regulator activity,GO:0030234;GO:0005085;GO:0016779;GO:0003743;GO:0045182
VC0396,Q9KUW3,,,,
VC0397,Q9KUW2,"SINGLE-STRANDED DNA-BINDING PROTEIN RIM1, MITOCHONDRIAL",103,helicase activity;single-stranded DNA binding,GO:0004386;GO:0003697
VC0398,Q9KUW1,RNASE E SPECIFICITY FACTOR CSRD,5,"",""
VC0399,Q9KUW0,,,,
VC0400,H9L4P3,,,,
VC0401,H9L4T2,,,,
VC0402,Q9KUV9,SUBFAMILY NOT NAMED,5,transmembrane transporter activity,GO:0022857
VC0403,H9L4Q2,,,,
VC0404,Q9KUV8,,,,
VC0405,Q9KUV7,SUBFAMILY NOT NAMED,3,ATPase activity,GO:0016887
VC0406,Q9KUV6,SUBFAMILY NOT NAMED,2,"",""
VC0407,Q9KUV5,,,,
VC0408,Q9KUV4,,,,
VC0409,H9L4Q5,,,,
VC0410,Q9KUV3,,,,
VC0411,Q9KUV2,,,,
VC0412,H9L4R1,,,,
VC0413,Q9KUV1,,,,
VC0414,Q9KUV0,,,,
VC0415,H9L4S9,ROD SHAPE-DETERMINING PROTEIN MREB,34,"",""
VC0416,Q9KUU9,CELL SHAPE-DETERMINING PROTEIN MREC,27,"",""
VC0417,Q9KUU8,ROD SHAPE-DETERMINING PROTEIN MRED,9,"",""
VC0418,Q9KUU7,MAF-LIKE PROTEIN YHDE,10,"",""
VC0419,Q9KUU6,RIBONUCLEASE G,24,"",""
VC0420,Q9KUU5,SUBFAMILY NOT NAMED,8,"",""
VC0421,Q9KUU4,DEAMINATED GLUTATHIONE AMIDASE,100,"",""
VC0422,Q9KUU3,METALLOPROTEASE TLDD,21,"",""
VC0423,Q9KUU2,SUBFAMILY NOT NAMED,21,"",""
VC0424,Q9KUU1,,,,
VC0425,Q9KUU0,,,,
VC0426,Q9KUT9,,,,
VC0427,Q9KUT8,,,,
VC0428,Q9KUT7,UNIVERSAL STRESS PROTEIN UP12,4,"",""
VC0429,Q9KUT6,SUBFAMILY NOT NAMED,11,"",""
VC0430,Q9KUT5,,,,
VC0431,Q9KUT4,ARGININE REPRESSOR,24,"",""
VC0432,Q9KUT3,"MALATE DEHYDROGENASE, MITOCHONDRIAL",122,oxidoreductase activity,GO:0016491
VC0433,Q9KUT2,ARGININE/ORNITHINE ANTIPORTER-RELATED,13,amino acid transmembrane transporter activity,GO:0015171
VC0434,Q9KUT1,SOLANESYL DIPHOSPHATE SYNTHASE 1,85,"transferase activity, transferring acyl groups",GO:0016746
VC0435,Q9KUT0,"39S RIBOSOMAL PROTEIN L21, MITOCHONDRIAL",131,structural constituent of ribosome,GO:0003735
VC0436,Q9KUS9,"39S RIBOSOMAL PROTEIN L27, MITOCHONDRIAL",132,structural constituent of ribosome,GO:0003735
VC0437,Q9KUS8,"GTP-BINDING PROTEIN OBGC, CHLOROPLASTIC",80,"",""
VC0438,Q9KUS7,INNER MEMBRANE PROTEIN YJJP,9,"",""
VC0439,Q9KUS6,UPF0442 PROTEIN YJJB,15,"",""
VC0440,Q9KUS5,DIHYDROFOLATE REDUCTASE,85,cofactor binding;nucleotide binding;oxidoreductase activity,GO:0048037;GO:0000166;GO:0016491
VC0441,Q9KUS4,METALLOPHOSPHOESTERASE YNL217W-RELATED,33,"",""
VC0442,Q9KUS3,POLYMERASE DELTA-INTERACTING PROTEIN 2,45,"",""
VC0443,Q9KUS2,DIMETHYLADENOSINE TRANSFERASE-RELATED,152,RNA methyltransferase activity;S-adenosylmethionine-dependent methyltransferase activity,GO:0008173;GO:0008757
VC0444,Q9KUS1,4-HYDROXYTHREONINE-4-PHOSPHATE DEHYDROGENASE,9,oxidoreductase activity,GO:0016491
VC0445,Q9KUS0,CHAPERONE SURA,16,"",""
VC0446,Q9KUR9,LPS-ASSEMBLY PROTEIN LPTD,26,"",""
VC0447,Q9KUR8,CO-CHAPERONE PROTEIN DJLA,26,"",""
VC0448,Q9KUR7,,,,
VC0449,Q9KUR6,,,,
VC0450,Q9KUR5,,,,
VC0451,Q9KUR4,FE(2+)-TRAFFICKING PROTEIN-RELATED,11,"",""
VC0452,Q9KUR3,ADENINE DNA GLYCOSYLASE,111,"catalytic activity, acting on DNA;damaged DNA binding;hydrolase activity;mismatched DNA binding",GO:0140097;GO:0003684;GO:0016787;GO:0030983
VC0453,Q9KUR2,TRNA (GUANINE-N(7)-)-METHYLTRANSFERASE,39,"",""
VC0454,Q9KUR1,"GLUTAMINASE, ISOFORM H",32,"hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in linear amides",GO:0016811
VC0455,Q9KUR0,OXYGEN-INDEPENDENT COPROPORPHYRINOGEN-III OXIDASE-LIKE PROTEIN YGGW,76,"",""
VC0456,Q9KUQ9,INOSINE TRIPHOSPHATE PYROPHOSPHATASE,145,nucleoside-triphosphate diphosphatase activity,GO:0047429
VC0457,Q9KUQ8,,,,
VC0458,Q9KUQ7,UPF0235 PROTEIN C15ORF40,60,"",""
VC0459,Q9KUQ6,"YLMG HOMOLOG PROTEIN 2, CHLOROPLASTIC",63,"",""
VC0460,Q9KUQ5,PYRROLINE-5-CARBOXYLATE REDUCTASE,121,"",""
VC0461,Q9KUQ4,PYRIDOXAL PHOSPHATE HOMEOSTASIS PROTEIN,128,anion binding;cofactor binding;drug binding;heterocyclic compound binding;organic cyclic compound binding;small molecule binding,GO:0043168;GO:0048037;GO:0008144;GO:1901363;GO:0097159;GO:0036094
VC0462,Q9KUQ3,SUBFAMILY NOT NAMED,14,"",""
VC0463,Q9KUQ2,SUBFAMILY NOT NAMED,32,"",""
VC0464,Q9KUQ1,SUBFAMILY NOT NAMED,8,"",""
VC0465,Q9KUQ0,"TYROSINE--TRNA LIGASE, MITOCHONDRIAL",119,"catalytic activity, acting on RNA;ligase activity",GO:0140098;GO:0016874
VC0466,Q9KUP9,"POLYNUCLEOTIDYL TRANSFERASE, RIBONUCLEASE H-LIKE SUPERFAMILY PROTEIN",69,"",""
VC0467,Q9KUP8,UPF0301 PROTEIN YQGE,24,"",""
VC0468,Q9KUP7,GLUTATHIONE SYNTHETASE,12,ligase activity,GO:0016874
VC0469,Q9KUP6,METHYLTRANSFERASE,73,RNA methyltransferase activity;S-adenosylmethionine-dependent methyltransferase activity,GO:0008173;GO:0008757
VC0470,P08038,ENDONUCLEASE-1,35,"",""
VC0471,Q9KUP4,PROTEIN SPRT,7,"",""
VC0472,Q9KUP3,S-ADENOSYLMETHIONINE SYNTHASE,135,"transferase activity, transferring alkyl or aryl (other than methyl) groups",GO:0016765
VC0473,Q9KUP2,,,,
VC0474,P0C6D1,SUBFAMILY NOT NAMED,10,DNA-binding transcription factor activity;sequence-specific DNA binding,GO:0003700;GO:0043565
VC0475,P0C6R0,COLICIN I RECEPTOR,14,"",""
VC0476,P0C6C2,D-ERYTHROSE-4-PHOSPHATE DEHYDROGENASE,6,cofactor binding;nucleotide binding;oxidoreductase activity,GO:0048037;GO:0000166;GO:0016491
VC0477,P0C6Q3,PHOSPHOGLYCERATE KINASE,50,"ATP binding;hydro-lyase activity;intramolecular transferase activity;kinase activity;oxidoreductase activity;phosphotransferase activity, alcohol group as acceptor",GO:0005524;GO:0016836;GO:0016866;GO:0016301;GO:0016491;GO:0016773
VC0478,Q9KUN7,FRUCTOSE-BISPHOSPHATE ALDOLASE,26,"",""
VC0479,Q9KUN6,,,,
VC0480,Q9KUN5,SMALL-CONDUCTANCE MECHANOSENSITIVE CHANNEL,17,"",""
VC0481,Q9KUN4,ARGININE EXPORTER PROTEIN ARGO,20,arginine transmembrane transporter activity,GO:0015181
VC0482,Q9KUN3,HTH-TYPE TRANSCRIPTIONAL REGULATOR ARGP,10,DNA-binding transcription factor activity,GO:0003700
VC0483,Q9KUN2,SUBFAMILY NOT NAMED,17,"",""
VC0484,Q9KUN1,,,,
VC0485,Q9KUN0,AT14039P-RELATED,153,"hydro-lyase activity;intramolecular transferase activity;kinase activity;oxidoreductase activity;phosphotransferase activity, alcohol group as acceptor",GO:0016836;GO:0016866;GO:0016301;GO:0016491;GO:0016773
VC0486,Q9KUM9,GLUCITOL OPERON REPRESSOR,9,DNA binding;DNA-binding transcription factor activity,GO:0003677;GO:0003700
VC0487,Q9KUM8,GH12731P-RELATED,146,transferase activity,GO:0016740
VC0488,Q9KUM7,,,,
VC0489,Q9KUM6,,,,
VC0490,Q9KUM5,,,,
VC0491,Q9KUM4,,,,
VC0492,Q9KUM3,,,,
VC0493,Q9KUM2,,,,
VC0494,Q9KUM1,,,,
VC0495,Q9KUM0,,,,
VC0496,Q9KUL9,,,,
VC0497,Q9KUL8,,,,
VC0498,Q9KUL7,,,,
VC0502,Q9KUL6,,,,
VC0503,Q9KUL5,,,,
VC0504,Q9KUL4,,,,
VC0505,Q9KUL3,,,,
VC0506,Q9KUL2,,,,
VC0507,Q9KUL1,,,,
VC0508,Q9KUL0,,,,
VC0509,Q9KUK9,,,,
VC0510,Q9KUK8,,,,
VC0511,Q9KUK7,,,,
VC0512,Q9KUK6,SUBFAMILY NOT NAMED,4,"",""
VC0513,Q9KUK5,,,,
VC0514,Q9KUK4,,,,
VC0515,Q9KUK3,,,,
VC0516,Q9KUK2,,,,
VC0517,Q9KUK1,RNA POLYMERASE SIGMA FACTOR RPOD,49,DNA binding;DNA-binding transcription factor activity;protein binding,GO:0003677;GO:0003700;GO:0005515
VC0519,Q9KUK0,"ALTERED INHERITANCE OF MITOCHONDRIA PROTEIN 41, MITOCHONDRIAL",34,"",""
VC0520,P66532,"28S RIBOSOMAL PROTEIN S21, MITOCHONDRIAL",113,"",""
VC0522,Q9KUJ8,SUBFAMILY NOT NAMED,3,"",""
VC0523,Q9KUJ7,GLYCEROL-3-PHOSPHATE ACYLTRANSFERASE-RELATED,33,"",""
VC0524,Q9KUJ6,DIHYDRONEOPTERIN ALDOLASE 1-RELATED,79,lyase activity,GO:0016829
VC0525,Q9KUJ5,SUBFAMILY NOT NAMED,4,catalytic activity,GO:0003824
VC0526,Q9KUJ4,SUBFAMILY NOT NAMED,16,"",""
VC0527,Q9KUJ3,CELL DIVISION PROTEIN FTSB,12,"",""
VC0528,Q9KUJ2,"2-C-METHYL-D-ERYTHRITOL 4-PHOSPHATE CYTIDYLYLTRANSFERASE, CHLOROPLASTIC",66,nucleotidyltransferase activity,GO:0016779
VC0529,Q9KUJ1,"2-C-METHYL-D-ERYTHRITOL 2,4-CYCLODIPHOSPHATE SYNTHASE, CHLOROPLASTIC",75,phosphorus-oxygen lyase activity,GO:0016849
VC0530,Q9KUJ0,TRNA PSEUDOURIDINE SYNTHASE D,10,intramolecular transferase activity,GO:0016866
VC0531,Q9KUI9,5'/3'-NUCLEOTIDASE SURE,27,5'-nucleotidase activity;pyrophosphatase activity,GO:0008253;GO:0016462
VC0532,Q9KUI8,PROTEIN-L-ISOASPARTATE(D-ASPARTATE) O-METHYLTRANSFERASE,119,O-methyltransferase activity;S-adenosylmethionine-dependent methyltransferase activity;protein methyltransferase activity,GO:0008171;GO:0008757;GO:0008276
VC0533,Q9KUI7,MUREIN HYDROLASE ACTIVATOR NLPD,12,metalloendopeptidase activity,GO:0004222
VC0534,O51804,RNA POLYMERASE SIGMA FACTOR SIGB,65,DNA binding;DNA-binding transcription factor activity;protein binding,GO:0003677;GO:0003700;GO:0005515
VC0535,Q9KUI6,"DNA MISMATCH REPAIR PROTEIN MSH1, MITOCHONDRIAL",102,ATP binding;DNA-dependent ATPase activity;damaged DNA binding;mismatched DNA binding,GO:0005524;GO:0008094;GO:0003684;GO:0030983
VC0536,Q9KUI5,,,,
VC0537,Q9KUI4,CYSTEINE SYNTHASE B,6,anion binding;cofactor binding;drug binding;heterocyclic compound binding;lyase activity;organic cyclic compound binding;small molecule binding,GO:0043168;GO:0048037;GO:0008144;GO:1901363;GO:0016829;GO:0097159;GO:0036094
VC0538,Q9KUI3,,,,
VC0539,Q9KUI2,SULFATE TRANSPORT SYSTEM PERMEASE PROTEIN CYST,5,"",""
VC0540,Q9KUI1,SULFATE TRANSPORT SYSTEM PERMEASE PROTEIN CYSW,5,"",""
VC0541,Q9KUI0,SUBFAMILY NOT NAMED,2,"",""
VC0542,Q9KUH9,NICOTINAMIDE-NUCLEOTIDE AMIDOHYDROLASE PNCC,47,"",""
VC0543,P45383,MITOCHONDRIAL DNA REPAIR PROTEIN RECA HOMOLOG,72,"",""
VC0544,Q56647,REGULATORY PROTEIN RECX FAMILY PROTEIN,61,"",""
VC0545,Q56648,"ALANINE--TRNA LIGASE, CYTOPLASMIC",165,"ATP binding;amino acid binding;catalytic activity, acting on RNA;ligase activity",GO:0005524;GO:0016597;GO:0140098;GO:0016874
VC0546,Q9KUH5,,,,
VC0547,Q9KUH4,,,,
VC0548,Q9KUH3,CARBON STORAGE REGULATOR,20,mRNA binding,GO:0003729
VC0549,Q9KUH2,,,,
VC0550,Q9KUH1,SUBFAMILY NOT NAMED,40,"",""
VC0551,Q9KUH0,,,,
VC0552,Q9KUG9,PROTEIN AST1-RELATED,40,oxidoreductase activity,GO:0016491
VC0553,Q9KUG8,INNER MEMBRANE PROTEIN YQAA,13,"",""
VC0554,Q9KUG7,ZINC PROTEASE PQQL-LIKE,56,"",""
VC0555,Q9KUG6,,,,
VC0556,Q9KUG5,GLUTAMATE--CYSTEINE LIGASE,8,ligase activity;metal ion binding,GO:0016874;GO:0046872
VC0557,Q9KUG4,S-RIBOSYLHOMOCYSTEINE LYASE,15,"",""
VC0558,Q9KUG3,UPF0053 INNER MEMBRANE PROTEIN YFJD,9,"",""
VC0559,Q9KUG2,INNER MEMBRANE PROTEIN YPJD,10,"",""
VC0560,Q9KUG1,"SIGNAL RECOGNITION PARTICLE 54 KDA PROTEIN, CHLOROPLASTIC",72,GTPase activity;RNA binding;protein binding,GO:0003924;GO:0003723;GO:0005515
VC0561,Q9KUG0,"37S RIBOSOMAL PROTEIN S16, MITOCHONDRIAL",103,structural constituent of ribosome,GO:0003735
VC0562,Q9KUF9,RIBOSOME MATURATION FACTOR RIMM,61,"",""
VC0563,Q9KUF8,TRNA (GUANINE-N(1)-)-METHYLTRANSFERASE,35,S-adenosylmethionine-dependent methyltransferase activity;tRNA methyltransferase activity,GO:0008757;GO:0008175
VC0564,Q9KUF7,"39S RIBOSOMAL PROTEIN L19, MITOCHONDRIAL",130,structural constituent of ribosome,GO:0003735
VC0565,Q9KUF6,"PROTEASE DO-LIKE 5, CHLOROPLASTIC",42,"",""
VC0566,Q9KUF5,"SERINE PROTEASE HTRA2, MITOCHONDRIAL",60,"",""
VC0567,Q9KUF4,INNER MEMBRANE PROTEIN YHCB,6,"",""
VC0568,Q9KUF3,AFG1-LIKE ATPASE,133,"",""
VC0569,Q9KUF2,,,,
VC0570,Q9KUF1,"54S RIBOSOMAL PROTEIN L23, MITOCHONDRIAL",97,mRNA binding;structural constituent of ribosome,GO:0003729;GO:0003735
VC0571,Q9KUF0,"28S RIBOSOMAL PROTEIN S9, MITOCHONDRIAL",119,RNA binding;structural constituent of ribosome,GO:0003723;GO:0003735
VC0572,Q9KUE9,,,,
VC0573,Q9KUE8,"CYTOCHROME B-C1 COMPLEX SUBUNIT RIESKE, MITOCHONDRIAL-RELATED",139,"electron transfer activity;oxidoreductase activity, acting on diphenols and related substances as donors",GO:0009055;GO:0016679
VC0574,Q9KUE7,CYTOCHROME B,104,"",""
VC0575,Q9KUE6,"CYTOCHROME C1, HEME PROTEIN, MITOCHONDRIAL",71,"",""
VC0576,Q9KUE5,GLUTATHIONE S-TRANSFERASE U17,96,"",""
VC0577,Q9KUE4,STRINGENT STARVATION PROTEIN B,10,"",""
VC0578,Q9KUE3,SUBFAMILY NOT NAMED,8,"",""
VC0579,Q9KUE2,DNAA INITIATOR-ASSOCIATING PROTEIN DIAA,21,"",""
VC0580,Q9KUE1,UPF0102 PROTEIN YRAN,28,"",""
VC0581,Q9KUE0,PENICILLIN-BINDING PROTEIN ACTIVATOR LPOA,9,catalytic activity;enzyme regulator activity,GO:0003824;GO:0030234
VC0582,Q9KUD9,RIBOSOMAL RNA SMALL SUBUNIT METHYLTRANSFERASE I,72,"",""
VC0584,Q9KUD8,,,,
VC0585,Q9KUD7,HYPOXANTHINE PHOSPHORIBOSYLTRANSFERASE,93,"magnesium ion binding;transferase activity, transferring pentosyl groups",GO:0000287;GO:0016763
VC0586,Q9KUD6,CARBONIC ANHYDRASE,37,hydro-lyase activity;zinc ion binding,GO:0016836;GO:0008270
VC0587,Q9KUD5,SUBFAMILY NOT NAMED,5,"",""
VC0588,Q9KUD4,,,,
VC0589,Q9KUD3,SUBFAMILY NOT NAMED,36,"ATPase activity, coupled to transmembrane movement of substances",GO:0042626
VC0590,Q9KUD2,INNER MEMBRANE TRANSPORT PERMEASE YADH,11,"",""
VC0591,Q9KUD1,PANTOATE--BETA-ALANINE LIGASE,87,ligase activity,GO:0016874
VC0592,Q9KUD0,3-METHYL-2-OXOBUTANOATE HYDROXYMETHYLTRANSFERASE,114,"magnesium ion binding;transferase activity, transferring one-carbon groups",GO:0000287;GO:0016741
VC0593,Q9KUC9,2-AMINO-4-HYDROXY-6-HYDROXYMETHYLDIHYDROPTERIDINE PYROPHOSPHOKINASE,36,catalytic activity,GO:0003824
VC0594,Q9KUC8,POLYNUCLEOTIDE ADENYLYLTRANSFERASE FAMILY PROTEIN,52,mRNA binding;nucleotidyltransferase activity,GO:0003729;GO:0016779
VC0595,Q9KUC7,GLUTAMYL-Q TRNA(ASP) SYNTHETASE,12,"catalytic activity, acting on RNA;ligase activity",GO:0140098;GO:0016874
VC0596,Q9KUC6,RNA POLYMERASE-BINDING TRANSCRIPTION FACTOR DKSA,20,"",""
VC0597,Q9KUC5,SUGAR FERMENTATION STIMULATION PROTEIN A,20,DNA binding,GO:0003677
VC0598,Q9KUC4,,,,
VC0599,Q9KUC3,,,,
VC0600,Q9KUC2,,,,
VC0601,Q9KUC1,ATP-DEPENDENT RNA HELICASE HRPB,14,helicase activity,GO:0004386
VC0602,Q9KUC0,PENICILLIN-BINDING PROTEIN 1B,19,"amide binding;carboxylic acid binding;drug binding;heterocyclic compound binding;organic cyclic compound binding;transferase activity, transferring hexosyl groups",GO:0033218;GO:0031406;GO:0008144;GO:1901363;GO:0097159;GO:0016758
VC0603,Q9KUB9,SUBFAMILY NOT NAMED,4,"",""
VC0604,Q9KUB8,ACONITATE HYDRATASE B,14,"",""
VC0605,Q9KUB7,,,,
VC0606,Q9KUB6,NITROGEN REGULATORY PROTEIN P-II 2,11,"",""
VC0608,Q9KUB5,SUBFAMILY NOT NAMED,8,"",""
VC0609,Q9KUB4,SUBFAMILY NOT NAMED,5,"",""
VC0610,Q9KUB3,SUBFAMILY NOT NAMED,7,"ATPase activity, coupled to transmembrane movement of substances",GO:0042626
VC0611,Q9KUB2,PHOSPHOGLUCOMUTASE,111,intramolecular transferase activity,GO:0016866
VC0612,Q9KUB1,SUBFAMILY NOT NAMED,2,"",""
VC0613,Q9KUB0,SUBFAMILY NOT NAMED,17,hydrolase activity,GO:0016787
VC0614,Q9KUA9,N-ACETYL-D-GLUCOSAMINE KINASE,49,"",""
VC0615,Q9KUA8,,,,
VC0616,Q9KUA7,SUBFAMILY NOT NAMED,9,"ATPase activity, coupled to transmembrane movement of substances",GO:0042626
VC0617,Q9KUA6,SUBFAMILY NOT NAMED,20,"ATPase activity, coupled to transmembrane movement of substances",GO:0042626
VC0618,Q9KUA5,SUBFAMILY NOT NAMED,5,"",""
VC0619,Q9KUA4,SUBFAMILY NOT NAMED,4,"",""
VC0620,Q9KUA3,SUBFAMILY NOT NAMED,32,peptide transmembrane transporter activity,GO:1904680
VC0621,Q9KUA2,,,,
VC0622,Q9KUA1,LP18708P,225,"",""
VC0623,Q9KUA0,RIBOSOMAL RNA SMALL SUBUNIT METHYLTRANSFERASE C,16,"",""
VC0624,Q9KU99,TRANSMEMBRANE PROTEIN 245,69,"",""
VC0625,Q9KU98,,,,
VC0626,Q9KU97,"GLUTAMATE-1-SEMIALDEHYDE 2,1-AMINOMUTASE 1, CHLOROPLASTIC-RELATED",102,"",""
VC0627,Q9KU96,"IRON-SULFUR CLUSTER ASSEMBLY 2 HOMOLOG, MITOCHONDRIAL",120,cofactor binding;iron ion binding,GO:0048037;GO:0005506
VC0628,Q9KU95,SUBFAMILY NOT NAMED,6,drug transmembrane transporter activity;efflux transmembrane transporter activity,GO:0015238;GO:0015562
VC0629,Q9KU94,SUBFAMILY NOT NAMED,33,"",""
VC0630,Q9KU93,SUBFAMILY NOT NAMED,4,metalloendopeptidase activity,GO:0004222
VC0631,Q9KU92,SUBFAMILY NOT NAMED,19,"catalytic activity, acting on RNA;ligase activity",GO:0140098;GO:0016874
VC0632,Q9KU91,PENICILLIN-SENSITIVE CARBOXYPEPTIDASE A,21,peptidase activity,GO:0008233
VC0633,P0C6Q6,,,,
VC0634,Q9KU89,TRANSCRIPTION ELONGATION FACTOR GREA,36,"",""
VC0635,Q9KU88,RNA-BINDING PROTEIN YHBY,23,"",""
VC0636,Q9KU87,"RRNA METHYLTRANSFERASE 2, MITOCHONDRIAL",97,"",""
VC0637,Q9KU86,ATP-DEPENDENT ZINC METALLOPROTEASE YME1L1,174,"ATPase activity, coupled;peptidase activity, acting on L-amino acid peptides",GO:0042623;GO:0070011
